SAMPLE_ID,식품명,식품상세분류,1회제공량,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
R000001-ZZ-AVG,"귀리, 겉귀리, 도정, 생것",곡류 및 그 제품,100,373,9.4,11.4,3.7,73.5,-,-,16,6.6,-,175,574,2,-,-,-,-
R000002-ZZ-AVG,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,100,371,9.7,14.3,3.8,70.4,-,-,18,7,-,183,385,3,-,-,-,-
R000003-ZZ-AVG,"귀리, 오트밀",곡류 및 그 제품,100,382,12,13.2,8.2,64.9,-,18.8,60,5.8,-,381,383,4,-,-,-,-
R000004-ZZ-AVG,"기장, 도정, 생것",곡류 및 그 제품,100,360,11.3,11.2,1.9,74.6,-,-,15,2.8,-,226,233,6,-,-,-,-
R000005-ZZ-AVG,"기장, 찰기장, 도정, 생것",곡류 및 그 제품,100,371,11.3,13.63,3.77,69.65,0.46,4.7,21,4.78,155,370,301,5,3.2,0.68,0.972,3.41
R000006-ZZ-AVG,"메밀, 도정, 생것",곡류 및 그 제품,100,363,13.1,13.64,3.38,67.84,0.5,6.3,21,2.78,244,453,444,1,3.09,0.541,1.469,3.16
R000007-ZZ-AVG,"메밀, 도정, 가루",곡류 및 그 제품,100,374,10.5,12.96,3.29,71.36,0.37,8.5,17,2.92,227,435,432,1,2.99,0.522,1.478,2.67
R000008-ZZ-AVG,"메밀 국수, 생것",곡류 및 그 제품,100,291,28.8,7.59,0.96,61.14,0,1.9,13,0.59,21,64,116,455,0.3,0.074,0.442,6.13
R000009-ZZ-AVG,"메밀 국수, 생것, 삶은것",곡류 및 그 제품,100,124,70.1,3.54,0.44,25.73,0,1.7,7,0.28,4,21,7,38,0.21,0.03,0.145,2.9
R000010-ZZ-AVG,"메밀 국수, 말린것",곡류 및 그 제품,100,372,8.3,13.58,1.27,74.41,2.77,4.6,28,2.54,83,173,198,707,1.64,0.36,1.388,7.03
R000011-ZZ-AVG,"메밀 국수, 말린것, 삶은것",곡류 및 그 제품,100,114,72.4,4.28,0.4,22.65,0,1.5,12,0.87,21,47,9,35,0.5,0.056,0.464,2.66
R000012-ZZ-AVG,"메밀 냉면, 말린것",곡류 및 그 제품,100,360,12.1,10.74,1.44,73.66,0,3.2,27,1.36,36,109,176,628,0.77,0.122,0.953,15.7
R000013-ZZ-AVG,"메밀 냉면, 말린것, 삶은것",곡류 및 그 제품,100,141,66.2,4.22,0.59,28.71,0,1.4,18,0.56,15,40,17,68,0.32,0.042,0.38,3.58
R000014-ZZ-AVG,"메밀묵, 생것",곡류 및 그 제품,100,58,85.6,0.86,0.23,12.8,0,1.7,7,1.45,13,24,38,120,0.13,0.031,0.119,3.45
R000015-ZZ-AVG,"메밀묵, 가루",곡류 및 그 제품,100,371,11,8.33,2.04,77.39,0.26,4.1,21,1.84,151,289,287,2,2.19,0.356,1.085,1.76
R000016-ZZ-AVG,"멥쌀, 배아미, 생것",곡류 및 그 제품,100,357,14.9,6.5,2,75.8,0.6,1.3,7,0.9,51,150,150,1,1.6,0.22,1.54,2
R000017-ZZ-AVG,"멥쌀, 백미, 생것",곡류 및 그 제품,100,363,13.4,6.4,0.4,79.5,-,-,7,1.3,-,87,170,8,-,-,-,-
R000018-ZZ-AVG,"멥쌀, 백미, 가루 ",곡류 및 그 제품,100,362,14,6.2,0.9,78.5,0.1,0.6,5,0.8,23,96,89,2,1,0.19,0.75,4
R000019-ZZ-AVG,"멥쌀, 칠분도미, 생것",곡류 및 그 제품,100,368,12.3,6.9,1.1,79.1,-,-,24,0.9,-,179,170,2,-,-,-,-
R000020-ZZ-AVG,"멥쌀, 고아미2호, 백미, 생것",곡류 및 그 제품,100,379,10.9,8.9,2.7,76.4,-,-,4,3,-,210,236,21,-,-,-,-
R000021-ZZ-AVG,"멥쌀, 고아미2호, 현미, 생것",곡류 및 그 제품,100,374,10.6,9.6,4.6,73.3,-,-,4,2.8,-,327,396,26,-,-,-,-
R000022-ZZ-AVG,"멥쌀, 농림나1호, 칠분도미, 생것",곡류 및 그 제품,100,370,12.4,5.6,1.9,79.2,-,-,32,-,-,226,298,9,-,-,-,-
R000023-ZZ-AVG,"멥쌀, 농림나1호, 현미, 생것",곡류 및 그 제품,100,371,12.9,5.8,4.8,75.3,-,-,14,0.8,-,305,275,1,-,-,-,-
R000024-ZZ-AVG,"멥쌀, 미국산, 백미, 생것",곡류 및 그 제품,100,365,12.6,5.7,0.2,81.2,-,-,1,1.2,-,33,67,2,-,-,-,-
R000025-ZZ-AVG,"멥쌀, 발아현미, 현미, 생것",곡류 및 그 제품,100,371,10.3,7,2.3,79.4,-,-,8,3.3,-,233,128,3,-,-,-,-
R000026-ZZ-AVG,"멥쌀, 밭벼, 백미, 생것",곡류 및 그 제품,100,357,14.9,9.3,0.9,74.5,-,0.5,5,0.8,23,95,89,1,1.4,0.22,0.59,-
R000027-ZZ-AVG,"멥쌀, 밭벼, 칠분도미, 생것",곡류 및 그 제품,100,358,14.9,9.5,1.5,73.4,-,0.9,6,1.3,45,180,120,1,1.5,0.23,0.78,-
R000028-ZZ-AVG,"멥쌀, 새추청벼, 백미, 생것",곡류 및 그 제품,100,366,12.4,6.1,0.2,80.9,-,-,4,3.8,-,46,469,8,-,-,-,-
R000029-ZZ-AVG,"멥쌀, 수라벼, 백미, 생것",곡류 및 그 제품,100,346,17.2,5.7,0.1,76.7,-,-,6,0.8,-,74,160,17,-,-,-,-
R000030-ZZ-AVG,"멥쌀, 일미벼, 백미, 생것",곡류 및 그 제품,100,372,11.5,7.7,1,79.3,-,-,12,1.1,-,95,114,11,-,-,-,-
R000031-ZZ-AVG,"멥쌀, 일미벼, 현미, 생것",곡류 및 그 제품,100,354,12.5,9,1,76.2,-,-,10,1.7,-,248,289,12,-,-,-,-
R000032-ZZ-AVG,"멥쌀, 일본산, 백미, 생것",곡류 및 그 제품,100,367,12.5,5,0.4,81.8,-,-,1,1,-,39,74,2,-,-,-,-
R000033-ZZ-AVG,"멥쌀, 일품벼, 백미, 생것",곡류 및 그 제품,100,353,15.4,5.7,0.1,78.5,-,-,6,1.4,-,77,92,5,-,-,-,-
R000034-ZZ-AVG,"멥쌀, 일품벼, 현미, 생것",곡류 및 그 제품,100,363,11.5,7.4,2,77.8,-,-,3,1.5,-,262,269,24,-,-,-,-
R000035-ZZ-AVG,"멥쌀, 중국산, 백미, 생것",곡류 및 그 제품,100,361,13.5,6.7,0.4,78.9,-,-,1,1.6,-,44,94,2,-,-,-,-
R000036-ZZ-AVG,"멥쌀, 추청벼, 백미, 생것",곡류 및 그 제품,100,373,10.8,6.7,0.6,81.4,-,5.7,8,0.4,-,131,107,3,-,-,-,-
R000037-ZZ-AVG,"멥쌀, 추청벼, 현미, 생것",곡류 및 그 제품,100,362,12.7,6.4,2.7,76.9,-,-,12,1.1,-,92,263,14,-,-,-,-
R000038-ZZ-AVG,"멥쌀, 큰눈벼, 백미, 생것",곡류 및 그 제품,100,375,10.6,6.3,1,81.4,-,-,3,1.1,-,146,144,19,-,-,-,-
R000039-ZZ-AVG,"멥쌀, 큰눈벼, 현미, 생것",곡류 및 그 제품,100,371,10.5,7.3,3,77.9,-,-,3,1.5,-,278,295,23,-,-,-,-
R000040-ZZ-AVG,"멥쌀, 태국산, 백미, 생것",곡류 및 그 제품,100,366,12.3,7,0.2,80.1,-,-,1,1.6,-,38,101,2,-,-,-,-
R000041-ZZ-AVG,"멥쌀, 통일벼, 백미, 생것",곡류 및 그 제품,100,375,10.3,8.3,0.6,80.3,-,-,11,1.2,-,112,93,3,-,-,-,-
R000042-ZZ-AVG,"멥쌀, 통일벼, 현미, 생것",곡류 및 그 제품,100,362,11.1,8.9,1.6,77.2,-,-,2,3.5,-,232,203,2,-,-,-,-
R000043-ZZ-AVG,"멥쌀, 하이아미, 백미, 생것",곡류 및 그 제품,100,367,12.8,5.5,0.9,80.3,-,-,9,2.9,-,119,120,9,-,-,-,-
R000044-ZZ-AVG,"멥쌀, 향미벼, 백미, 생것",곡류 및 그 제품,100,368,12,7,0.6,79.9,-,-,5,1,-,72,113,4,-,-,-,-
R000045-ZZ-AVG,"멥쌀, 호주산, 백미, 생것",곡류 및 그 제품,100,371,11.3,6.4,0.3,81.7,-,-,1,1.5,-,36,114,2,-,-,-,-
R000046-ZZ-AVG,"멥쌀, 흑미벼, 현미, 생것",곡류 및 그 제품,100,356,13.5,7.59,2.31,75.31,0.67,7.6,19,0.85,113,300,306,4,2.01,0.179,3.68,2.13
R000047-ZZ-AVG,"멥쌀, 흑진주벼, 현미, 생것",곡류 및 그 제품,100,369,10.3,7.9,2.6,77.7,-,7.4,23,2.5,-,373,351,2,-,-,-,-
R000048-ZZ-AVG,"멥쌀, 히토메보레, 백미, 생것",곡류 및 그 제품,100,364,12.8,6.5,0.3,80,-,4.6,7,0.5,-,100,76,3,-,-,-,-
R000049-ZZ-AVG,"멥쌀, 골든퀸3호, 백미, 생것",곡류 및 그 제품,100,354,15.6,6.07,0.67,77.27,0.03,0.9,4,0.25,26,91,73,3,1.65,0.162,0.781,2.09
R000050-ZZ-AVG,"멥쌀, 골든퀸3호, 현미, 생것",곡류 및 그 제품,100,356,13.3,6.16,2.01,77.24,0.5,3.9,9,0.91,109,270,232,1,1.86,0.205,2.822,5.82
R000051-ZZ-AVG,"멥쌀, 호품벼, 백미, 생것",곡류 및 그 제품,100,354,15.8,5.91,0.73,77.2,0.04,0.8,4,0.18,22,88,71,0,1.32,0.194,1.013,2.16
R000052-ZZ-AVG,"멥쌀, 호품벼, 현미, 생것",곡류 및 그 제품,100,343,16.8,6.3,1.94,73.89,0.33,3.5,10,0.82,100,275,224,1,2.05,0.229,2.527,2.02
R000053-ZZ-AVG,멥쌀 과자,곡류 및 그 제품,100,469,2.2,3.2,15.9,78.2,-,-,4,0.9,-,32,11,224,-,-,-,-
R000054-ZZ-AVG,"멥쌀 과자, 튀밥, 팽화",곡류 및 그 제품,100,393,5.6,8.7,3.9,80.7,-,-,5,1,-,228,278,74,-,-,-,-
R000055-ZZ-AVG,"멥쌀 과자, 쌀엿강정, 팽화",곡류 및 그 제품,100,395,3.5,4.11,2.13,89.96,35.58,0,8,0.18,13,55,63,4,0.88,0.12,0.513,2.08
R000056-ZZ-AVG,"멥쌀 국수, 말린것",곡류 및 그 제품,100,340,9.8,9.1,1.5,72.6,-,-,27,1,-,254,405,1964,-,-,-,-
R000057-ZZ-AVG,"멥쌀떡, 가래떡",곡류 및 그 제품,100,213,46.4,3.71,0.37,48.8,0.09,0.7,10,0.14,11,36,29,261,0.86,0.083,0.445,1.43
R000058-ZZ-AVG,"멥쌀떡, 가래떡, 흑미",곡류 및 그 제품,100,205,48.1,3.5,0,47.8,-,-,8,1.3,-,52,46,226,-,-,-,-
R000059-ZZ-AVG,"멥쌀떡, 개피떡",곡류 및 그 제품,100,207,48.7,4.3,0.8,45.6,-,-,17,1.2,-,44,29,155,-,-,-,-
R000060-ZZ-AVG,"멥쌀떡, 개피떡, 쑥",곡류 및 그 제품,100,206,48.8,4.5,0.8,45.2,-,-,24,1.8,-,46,46,157,-,-,-,-
